,job-title,Location,Organization,min-salary,max-salary
0,Cyber Threat Analyst,"Washington, District of Columbia",Central Intelligence Agency,63940,158322
1,Resource Analyst,"Washington, District of Columbia",Central Intelligence Agency,82396,121785
2,Technical Targeting Analyst,"Washington, District of Columbia",Central Intelligence Agency,70623,197200
3,Case Officer,"Washington, District of Columbia",Central Intelligence Agency,72254,109975
4,Collection Management Officer,"Washington, District of Columbia",Central Intelligence Agency,72254,109975
5,Language Officer,"Washington, District of Columbia",Central Intelligence Agency,79567,131826
6,Paramilitary Operations Officer,"Washington, District of Columbia",Central Intelligence Agency,79567,131826
7,Staff Operations Officer,"Washington, District of Columbia",Central Intelligence Agency,72254,109975
8,Targeting Officer,"Washington, District of Columbia",Central Intelligence Agency,72254,109975
9,Contracting Officer,"Washington, District of Columbia",Central Intelligence Agency,81576,156737
10,IG Auditor/Program Analyst,"Washington, District of Columbia",Central Intelligence Agency,75972,185234
11,Logistics Officer,"Washington, District of Columbia",Central Intelligence Agency,82305,107156
12,Polygraph Examiner,"Washington, District of Columbia",Central Intelligence Agency,70506,131826
13,Support Integration Officer (Deployed Support Officer),"Washington, District of Columbia",Central Intelligence Agency,75972,100097
14,Data Engineer,"Washington, District of Columbia",Central Intelligence Agency,74584,156755
15,Data Lifecycle Specialist,"Washington, District of Columbia",Central Intelligence Agency,74584,156755
16,Clinical Psychologist,"Washington, District of Columbia",Central Intelligence Agency,178110,189984
17,Foreign Language Instructor,"Washington, District of Columbia",Central Intelligence Agency,85546,133142
18,Green & Gold Congressional Aide,"Washington, District of Columbia",House of Representatives,56000,68000
19,TRAFFIC MANAGEMENT SPECIALIST (Title 32),"Ellington AFB, Texas",Air National Guard Units,69154,89900
20,HEAVY MOBILE EQUIPMENT MECHANIC (TITLE 32),"Ellington AFB, Texas",Air National Guard Units,32.22,37.65
21,Special Agent,"Salt Lake City, Utah",Federal Bureau of Investigation,99461,128329
22,PUBLIC NOTICE- DEA Criminal Investigators,"Ponce, Puerto Rico",Drug Enforcement Administration,48854,82938
23,U.S. Probation Officer,"Gulfport, Mississippi",U.S. Courts,59732,116394
24,FUEL DISTRIBUTION SYSTEM OPERATOR (TITLE 32),"Ellington AFB, Texas",Air National Guard Units,32.22,37.65
